t_MCS [s],MCS_UE0,t_latency_UE0 [s],latency_rlc_UE0 [s],MCS_UE1,t_latency_UE1 [s],latency_rlc_UE1 [s]
0.022,9,0.025,0.00499323,3,0.026,0.005991574
0.032,9,0.035,0.00499323,3,0.036,0.005991574
0.042,9,0.045,0.00499323,3,0.046,0.005991574
0.052,9,0.055,0.00499323,3,0.056,0.005991574
0.062,9,0.065,0.00499323,3,0.066,0.005991574
0.072,9,0.075,0.00499323,3,0.076,0.005991574
0.082,9,0.085,0.00499323,3,0.086,0.005991574
0.092,9,0.095,0.00499323,3,0.096,0.005991574
0.102,9,0.105,0.00499323,3,0.106,0.005991574
0.112,9,0.115,0.00499323,3,0.116,0.005991574
0.122,9,0.125,0.00499323,3,0.126,0.005991574
0.132,9,0.135,0.00499323,3,0.136,0.005991574
0.142,9,0.145,0.00499323,3,0.146,0.005991574
0.152,9,0.155,0.00499323,3,0.156,0.005991574
0.162,9,0.165,0.00499323,3,0.166,0.005991574
0.172,9,0.175,0.00499323,3,0.176,0.005991574
0.182,9,0.185,0.00499323,3,0.186,0.005991574
0.192,9,0.195,0.00499323,3,0.196,0.005991574
0.202,9,0.205,0.00499323,3,0.206,0.005991574
0.212,9,0.215,0.00499323,3,0.216,0.005991574
0.222,9,0.225,0.00499323,3,0.226,0.005991574
0.232,9,0.235,0.00499323,3,0.236,0.005991574
0.242,9,0.245,0.00499323,3,0.246,0.005991574
0.252,9,0.255,0.00499323,3,0.256,0.005991574
0.262,9,0.265,0.00499323,3,0.266,0.005991574
0.272,9,0.275,0.00499323,3,0.276,0.005991574
0.282,9,0.285,0.00499323,3,0.286,0.005991574
0.292,9,0.295,0.00499323,3,0.296,0.005991574
0.302,9,0.305,0.00499323,3,0.306,0.005991574
0.312,9,0.315,0.00499323,3,0.316,0.005991574
0.322,9,0.325,0.00499323,3,0.326,0.005991574
0.332,9,0.335,0.00499323,3,0.336,0.005991574
0.342,9,0.345,0.00499323,3,0.346,0.005991574
0.352,9,0.355,0.00499323,3,0.356,0.005991574
0.362,9,0.365,0.00499323,3,0.366,0.005991574
0.372,9,0.375,0.00499323,3,0.376,0.005991574
0.382,9,0.385,0.00499323,3,0.386,0.005991574
0.392,9,0.395,0.00499323,3,0.396,0.005991574
0.402,9,0.405,0.00499323,3,0.406,0.005991574
0.412,9,0.415,0.00499323,3,0.416,0.005991574
0.422,9,0.425,0.00499323,3,0.426,0.005991574
0.432,9,0.435,0.00499323,3,0.436,0.005991574
0.442,9,0.445,0.00499323,3,0.446,0.005991574
0.452,9,0.455,0.00499323,3,0.456,0.005991574
0.462,9,0.465,0.00499323,3,0.466,0.005991574
0.472,9,0.475,0.00499323,3,0.476,0.005991574
0.482,9,0.485,0.00499323,3,0.486,0.005991574
0.492,9,0.495,0.00499323,3,0.496,0.005991574
0.502,9,0.505,0.00499323,3,0.506,0.005991574
0.512,9,0.515,0.00499323,3,0.516,0.005991574
0.522,9,0.525,0.00499323,3,0.526,0.005991574
0.532,9,0.535,0.00499323,3,0.536,0.005991574
0.542,9,0.545,0.00499323,3,0.546,0.005991574
0.552,9,0.555,0.00499323,3,0.556,0.005991574
0.562,9,0.565,0.00499323,3,0.566,0.005991574
0.572,9,0.575,0.00499323,3,0.576,0.005991574
0.582,9,0.585,0.00499323,3,0.586,0.005991574
0.592,9,0.595,0.00499323,3,0.596,0.005991574
0.602,9,0.605,0.00499323,3,0.606,0.005991574
0.612,9,0.615,0.00499323,3,0.616,0.005991574
0.622,9,0.625,0.00499323,3,0.626,0.005991574
0.632,9,0.635,0.00499323,3,0.636,0.005991574
0.642,9,0.645,0.00499323,3,0.646,0.005991574
0.652,9,0.655,0.00499323,3,0.656,0.005991574
0.662,9,0.665,0.00499323,3,0.666,0.005991574
0.672,9,0.675,0.00499323,3,0.676,0.005991574
0.682,9,0.685,0.00499323,3,0.686,0.005991574
0.692,9,0.695,0.00499323,3,0.696,0.005991574
0.702,9,0.705,0.00499323,3,0.706,0.005991574
0.712,9,0.715,0.00499323,3,0.716,0.005991574
0.722,9,0.725,0.00499323,3,0.726,0.005991574
0.732,9,0.735,0.00499323,3,0.736,0.005991574
0.742,9,0.745,0.00499323,3,0.746,0.005991574
0.752,9,0.755,0.00499323,3,0.756,0.005991574
0.762,9,0.765,0.00499323,3,0.766,0.005991574
0.772,9,0.775,0.00499323,3,0.776,0.005991574
0.782,9,0.785,0.00499323,3,0.786,0.005991574
0.792,9,0.795,0.00499323,3,0.796,0.005991574
0.802,9,0.805,0.00499323,3,0.806,0.005991574
0.812,9,0.815,0.00499323,3,0.816,0.005991574
0.822,9,0.825,0.00499323,3,0.826,0.005991574
0.832,9,0.835,0.00499323,3,0.836,0.005991574
0.842,9,0.845,0.00499323,3,0.846,0.005991574
0.852,9,0.855,0.00499323,3,0.856,0.005991574
0.862,9,0.865,0.00499323,3,0.866,0.005991574
0.872,9,0.875,0.00499323,3,0.876,0.005991574
0.882,9,0.885,0.00499323,3,0.886,0.005991574
0.892,9,0.895,0.00499323,3,0.896,0.005991574
0.902,9,0.905,0.00499323,3,0.906,0.005991574
0.912,9,0.915,0.00499323,3,0.916,0.005991574
0.922,9,0.925,0.00499323,3,0.926,0.005991574
0.932,9,0.935,0.00499323,3,0.936,0.005991574
0.942,9,0.945,0.00499323,3,0.946,0.005991574
0.952,9,0.955,0.00499323,3,0.956,0.005991574
0.962,9,0.965,0.00499323,3,0.966,0.005991574
0.972,9,0.975,0.00499323,3,0.976,0.005991574
0.982,9,0.985,0.00499323,3,0.986,0.005991574
0.992,9,0.995,0.00499323,3,0.996,0.005991574
1.002,9,1.005,0.00499323,3,1.006,0.005991574
1.012,9,1.015,0.00499323,3,1.016,0.005991574
1.022,9,1.025,0.00499323,3,1.026,0.005991574
1.032,9,1.035,0.00499323,3,1.036,0.005991574
